[ERROR] Error en linea 2: 1002,Producto_2,Verduras,2026-07-18,Marca_2,abc,89
[ERROR] Error en linea 78: 1078,Producto_78,Bebidas,2026-02-26,Marca_78,27,xyz
[ERROR] Linea 79: precio invalido (-50)
[DUPLICADO] Linea 80: duplicado - 1001
[ERROR] Error en linea 82: 1082,Producto_82,Frutas,2026-05-13,Marca_82,137,xyz
[ERROR] Linea 83: fecha invalida (2026/99/99)
[ERROR] Error en linea 84: 1084,Producto_84,Bebidas,2026-05-17,Marca_84,abc,55
[ERROR] Error en linea 85: 1085,Producto_85,Verduras,2026-03-20,Marca_85,abc,24
[ERROR] Error en linea 86: 1086,Producto_86,Verduras,2026-01-20,Marca_86,abc,72
[DUPLICADO] Linea 87: duplicado - 1001
[ERROR] Linea 88: fecha invalida (2026/99/99)
[ERROR] Linea 90: campo vacio detectado
[ERROR] Error en linea 91: 1091,Producto_91,Abarrotes,2026-07-06,Marca_91,abc,72
[ERROR] Linea 94: campo vacio detectado
[ERROR] Linea 96: fecha invalida (2026/99/99)
[ERROR] Linea 97: campo vacio detectado
[ERROR] Linea 99: stock invalido (-10)
[ERROR] Linea 100: fecha invalida (2026/99/99)
[ERROR] Linea 101: stock invalido (-10)
[ERROR] Linea 102: stock invalido (-10)
[ERROR] Error en linea 103: 1103,Producto_103,Snacks,2026-05-08,Marca_103,114,xyz
[ERROR] Linea 104: fecha invalida (2026/99/99)
[ERROR] Linea 106: stock invalido (-10)
[ERROR] Linea 107: precio invalido (-50)
[ERROR] Linea 108: fecha invalida (2026/99/99)
[ERROR] Linea 109: campo vacio detectado
[ERROR] Error en linea 110: 1110,Producto_110,Bebidas,2026-07-09,Marca_110,23,xyz
[ERROR] Linea 113: stock invalido (-10)
[ERROR] Error en linea 114: 1114,Producto_114,Verduras,2026-11-07,Marca_114,abc,86
[ERROR] Error en linea 115: 1115,Producto_115,Bebidas,2026-10-02,Marca_115,147,xyz
[ERROR] Error en linea 117: 1117,Producto_117,Verduras,2026-01-10,Marca_117,102,xyz
[ERROR] Linea 118: precio invalido (-50)
[ERROR] Linea 119: stock invalido (-10)
[ERROR] Linea 121: precio invalido (-50)
[ERROR] Linea 122: stock invalido (-10)
[ERROR] Linea 123: fecha invalida (2026/99/99)
[DUPLICADO] Linea 124: duplicado - 1001
[ERROR] Linea 125: campo vacio detectado
[ERROR] Linea 127: stock invalido (-10)
[ERROR] Linea 128: fecha invalida (2026/99/99)
[ERROR] Linea 129: campo vacio detectado
[ERROR] Linea 130: precio invalido (-50)
[ERROR] Linea 133: fecha invalida (2026/99/99)
[ERROR] Error en linea 136: 1136,Producto_136,Verduras,2026-12-15,Marca_136,abc,82
[ERROR] Linea 137: stock invalido (-10)
[ERROR] Linea 139: campo vacio detectado
[DUPLICADO] Linea 140: duplicado - 1001
[ERROR] Linea 142: campo vacio detectado
[ERROR] Linea 143: campo vacio detectado
[ERROR] Linea 144: stock invalido (-10)
[ERROR] Error en linea 145: 1145,Producto_145,Verduras,2026-08-05,Marca_145,164,xyz
[ERROR] Linea 146: campo vacio detectado
[ERROR] Error en linea 148: 1148,Producto_148,Lacteos,2026-05-10,Marca_148,90,xyz
[ERROR] Linea 153: precio invalido (-50)
[ERROR] Linea 155: precio invalido (-50)
[ERROR] Linea 156: fecha invalida (2026/99/99)
[ERROR] Error en linea 157: 1157,Producto_157,Lacteos,2026-08-18,Marca_157,87,xyz
[ERROR] Linea 160: precio invalido (-50)
[ERROR] Error en linea 162: 1162,Producto_162,Abarrotes,2026-01-05,Marca_162,abc,28
[ERROR] Error en linea 163: 1163,Producto_163,Bebidas,2026-02-15,Marca_163,abc,37
[ERROR] Error en linea 165: 1165,Producto_165,Verduras,2026-09-12,Marca_165,abc,37
[ERROR] Error en linea 166: 1166,Producto_166,Verduras,2026-08-04,Marca_166,abc,34
[ERROR] Linea 167: stock invalido (-10)
[ERROR] Linea 168: fecha invalida (2026/99/99)
[ERROR] Error en linea 169: 1169,Producto_169,Frutas,2026-10-11,Marca_169,148,xyz
[ERROR] Linea 170: campo vacio detectado
[ERROR] Error en linea 171: 1171,Producto_171,Lacteos,2026-01-18,Marca_171,194,xyz
[ERROR] Linea 172: campo vacio detectado
[ERROR] Linea 173: stock invalido (-10)
[ERROR] Linea 174: stock invalido (-10)
[ERROR] Linea 175: campo vacio detectado
[ERROR] Linea 176: precio invalido (-50)
[ERROR] Error en linea 177: 1177,Producto_177,Frutas,2026-12-14,Marca_177,33,xyz
[ERROR] Error en linea 179: 1179,Producto_179,Snacks,2026-09-27,Marca_179,65,xyz
[DUPLICADO] Linea 182: duplicado - 1001
[ERROR] Linea 184: precio invalido (-50)
[ERROR] Linea 185: fecha invalida (2026/99/99)
[ERROR] Linea 186: fecha invalida (2026/99/99)
[ERROR] Linea 187: precio invalido (-50)
[ERROR] Linea 191: fecha invalida (2026/99/99)
[ERROR] Linea 192: campo vacio detectado
[ERROR] Linea 195: stock invalido (-10)
[ERROR] Linea 196: fecha invalida (2026/99/99)
[ERROR] Linea 197: campo vacio detectado
[ERROR] Linea 199: campo vacio detectado
[ERROR] Linea 200: campo vacio detectado
[DUPLICADO] Linea 201: duplicado - 1001
[ERROR] Error en linea 202: 1202,Producto_202,Bebidas,2026-08-22,Marca_202,58,xyz
[ERROR] Error en linea 203: 1203,Producto_203,Lacteos,2026-04-11,Marca_203,137,xyz
[ERROR] Linea 204: campo vacio detectado
[ERROR] Linea 205: stock invalido (-10)
[ERROR] Error en linea 206: 1206,Producto_206,Verduras,2026-06-18,Marca_206,69,xyz
[ERROR] Linea 207: precio invalido (-50)
[ERROR] Linea 208: fecha invalida (2026/99/99)
[DUPLICADO] Linea 209: duplicado - 1001
[ERROR] Linea 210: campo vacio detectado
[ERROR] Linea 211: precio invalido (-50)
[ERROR] Linea 212: campo vacio detectado
[DUPLICADO] Linea 213: duplicado - 1001
[ERROR] Linea 215: fecha invalida (2026/99/99)
[ERROR] Error en linea 217: 1217,Producto_217,Bebidas,2026-09-09,Marca_217,abc,73
[DUPLICADO] Linea 218: duplicado - 1001
[ERROR] Linea 220: precio invalido (-50)
[ERROR] Linea 221: stock invalido (-10)
[ERROR] Linea 222: fecha invalida (2026/99/99)
[ERROR] Error en linea 223: 1223,Producto_223,Verduras,2026-08-19,Marca_223,148,xyz
[ERROR] Linea 224: fecha invalida (2026/99/99)
[ERROR] Linea 228: precio invalido (-50)
[ERROR] Error en linea 230: 1230,Producto_230,Frutas,2026-11-10,Marca_230,abc,93
[ERROR] Linea 231: precio invalido (-50)
[ERROR] Error en linea 232: 1232,Producto_232,Verduras,2026-10-06,Marca_232,abc,74
[ERROR] Error en linea 233: 1233,Producto_233,Verduras,2026-09-04,Marca_233,abc,83
[ERROR] Error en linea 234: 1234,Producto_234,Snacks,2026-08-27,Marca_234,abc,85
[ERROR] Linea 235: stock invalido (-10)
[DUPLICADO] Linea 236: duplicado - 1001
[ERROR] Linea 238: precio invalido (-50)
[ERROR] Linea 239: fecha invalida (2026/99/99)
[ERROR] Linea 240: precio invalido (-50)
[ERROR] Linea 241: stock invalido (-10)
[ERROR] Linea 242: campo vacio detectado
[ERROR] Linea 243: stock invalido (-10)
[ERROR] Linea 246: precio invalido (-50)
[ERROR] Linea 248: fecha invalida (2026/99/99)
[ERROR] Error en linea 249: 1249,Producto_249,Abarrotes,2026-06-10,Marca_249,abc,86
[ERROR] Error en linea 250: 1250,Producto_250,Bebidas,2026-05-08,Marca_250,abc,98
[DUPLICADO] Linea 251: duplicado - 1001
[ERROR] Error en linea 253: 1253,Producto_253,Frutas,2026-09-21,Marca_253,120,xyz
[DUPLICADO] Linea 254: duplicado - 1001
[ERROR] Error en linea 257: 1257,Producto_257,Abarrotes,2026-10-12,Marca_257,54,xyz
[ERROR] Linea 258: campo vacio detectado
[ERROR] Error en linea 260: 1260,Producto_260,Bebidas,2026-05-23,Marca_260,104,xyz
[ERROR] Error en linea 262: 1262,Producto_262,Frutas,2026-01-28,Marca_262,abc,43
[ERROR] Error en linea 263: 1263,Producto_263,Frutas,2026-01-13,Marca_263,abc,92
[ERROR] Linea 264: campo vacio detectado
[ERROR] Linea 265: campo vacio detectado
[ERROR] Error en linea 266: 1266,Producto_266,Verduras,2026-08-22,Marca_266,abc,20
[ERROR] Linea 268: fecha invalida (2026/99/99)
[ERROR] Error en linea 269: 1269,Producto_269,Lacteos,2026-11-07,Marca_269,abc,42
[ERROR] Linea 271: precio invalido (-50)
[ERROR] Linea 273: fecha invalida (2026/99/99)
[ERROR] Error en linea 278: 1278,Producto_278,Frutas,2026-03-01,Marca_278,abc,84
[DUPLICADO] Linea 279: duplicado - 1001
[ERROR] Linea 283: fecha invalida (2026/99/99)
[ERROR] Linea 284: precio invalido (-50)
[ERROR] Error en linea 285: 1285,Producto_285,Snacks,2026-10-19,Marca_285,abc,90
[ERROR] Linea 286: stock invalido (-10)
[ERROR] Linea 287: campo vacio detectado
[ERROR] Linea 288: fecha invalida (2026/99/99)
[ERROR] Linea 289: stock invalido (-10)
[ERROR] Linea 291: campo vacio detectado
[ERROR] Linea 292: precio invalido (-50)
[ERROR] Linea 293: precio invalido (-50)
[ERROR] Error en linea 295: 1295,Producto_295,Lacteos,2026-04-05,Marca_295,182,xyz
[ERROR] Linea 296: campo vacio detectado
[ERROR] Linea 297: fecha invalida (2026/99/99)
[ERROR] Linea 298: stock invalido (-10)
[DUPLICADO] Linea 299: duplicado - 1001
[ERROR] Error en linea 300: 1300,Producto_300,Snacks,2026-08-21,Marca_300,129,xyz
[ERROR] Linea 301: campo vacio detectado
[ERROR] Linea 302: campo vacio detectado
[ERROR] Linea 303: stock invalido (-10)
[ERROR] Linea 304: precio invalido (-50)
[ERROR] Error en linea 305: 1305,Producto_305,Snacks,2026-09-07,Marca_305,57,xyz
[ERROR] Error en linea 306: 1306,Producto_306,Bebidas,2026-11-19,Marca_306,abc,10
[ERROR] Linea 307: campo vacio detectado
[ERROR] Error en linea 308: 1308,Producto_308,Verduras,2026-09-16,Marca_308,abc,55
[ERROR] Error en linea 310: 1310,Producto_310,Snacks,2026-01-23,Marca_310,156,xyz
[ERROR] Linea 312: campo vacio detectado
[ERROR] Linea 313: precio invalido (-50)
[ERROR] Linea 315: campo vacio detectado
[DUPLICADO] Linea 316: duplicado - 1001
[ERROR] Linea 317: stock invalido (-10)
[ERROR] Linea 319: stock invalido (-10)
[DUPLICADO] Linea 320: duplicado - 1001
[ERROR] Linea 322: campo vacio detectado
[DUPLICADO] Linea 323: duplicado - 1001
[ERROR] Linea 324: campo vacio detectado
[ERROR] Linea 325: stock invalido (-10)
[ERROR] Error en linea 327: 1327,Producto_327,Abarrotes,2026-05-10,Marca_327,abc,100
[ERROR] Error en linea 331: 1331,Producto_331,Snacks,2026-05-06,Marca_331,22,xyz
[ERROR] Linea 333: campo vacio detectado
[ERROR] Linea 334: precio invalido (-50)
[DUPLICADO] Linea 335: duplicado - 1001
[ERROR] Error en linea 336: 1336,Producto_336,Abarrotes,2026-05-05,Marca_336,153,xyz
[ERROR] Linea 337: fecha invalida (2026/99/99)
[ERROR] Linea 339: precio invalido (-50)
[ERROR] Error en linea 340: 1340,Producto_340,Lacteos,2026-01-13,Marca_340,148,xyz
[ERROR] Error en linea 341: 1341,Producto_341,Verduras,2026-08-16,Marca_341,abc,45
[DUPLICADO] Linea 342: duplicado - 1001
[ERROR] Linea 343: fecha invalida (2026/99/99)
[ERROR] Error en linea 345: 1345,Producto_345,Frutas,2026-03-13,Marca_345,abc,94
[ERROR] Linea 346: campo vacio detectado
[ERROR] Linea 348: stock invalido (-10)
[ERROR] Error en linea 349: 1349,Producto_349,Verduras,2026-11-09,Marca_349,abc,33
[ERROR] Linea 350: precio invalido (-50)
[ERROR] Error en linea 351: 1351,Producto_351,Snacks,2026-09-09,Marca_351,abc,93
[ERROR] Linea 352: stock invalido (-10)
[ERROR] Linea 353: campo vacio detectado
[ERROR] Linea 354: campo vacio detectado
[ERROR] Error en linea 357: 1357,Producto_357,Frutas,2026-01-02,Marca_357,118,xyz
[ERROR] Linea 359: stock invalido (-10)
[ERROR] Linea 361: stock invalido (-10)
[ERROR] Linea 362: precio invalido (-50)
[ERROR] Linea 365: campo vacio detectado
[ERROR] Linea 366: fecha invalida (2026/99/99)
[ERROR] Linea 367: stock invalido (-10)
[ERROR] Linea 368: stock invalido (-10)
[ERROR] Linea 369: stock invalido (-10)
[ERROR] Linea 370: fecha invalida (2026/99/99)
[ERROR] Linea 371: stock invalido (-10)
[ERROR] Error en linea 374: 1374,Producto_374,Frutas,2026-11-22,Marca_374,abc,18
[ERROR] Linea 375: precio invalido (-50)
[ERROR] Error en linea 377: 1377,Producto_377,Frutas,2026-07-02,Marca_377,abc,28
[ERROR] Linea 378: fecha invalida (2026/99/99)
[ERROR] Error en linea 379: 1379,Producto_379,Frutas,2026-10-13,Marca_379,abc,42
[ERROR] Error en linea 382: 1382,Producto_382,Lacteos,2026-09-12,Marca_382,142,xyz
[ERROR] Error en linea 383: 1383,Producto_383,Bebidas,2026-10-10,Marca_383,abc,3
[ERROR] Linea 384: fecha invalida (2026/99/99)
[ERROR] Error en linea 386: 1386,Producto_386,Lacteos,2026-05-24,Marca_386,abc,9
[ERROR] Linea 389: precio invalido (-50)
[ERROR] Linea 391: campo vacio detectado
[ERROR] Linea 392: fecha invalida (2026/99/99)
[ERROR] Error en linea 394: 1394,Producto_394,Bebidas,2026-02-21,Marca_394,120,xyz
[ERROR] Linea 395: precio invalido (-50)
[ERROR] Linea 396: precio invalido (-50)
[DUPLICADO] Linea 397: duplicado - 1001
[ERROR] Linea 398: precio invalido (-50)
[ERROR] Linea 399: stock invalido (-10)
[ERROR] Linea 401: campo vacio detectado
[ERROR] Linea 404: stock invalido (-10)
[DUPLICADO] Linea 405: duplicado - 1001
[ERROR] Error en linea 407: 1407,Producto_407,Snacks,2026-01-05,Marca_407,abc,31
[ERROR] Linea 408: fecha invalida (2026/99/99)
[ERROR] Error en linea 409: 1409,Producto_409,Snacks,2026-11-13,Marca_409,69,xyz
[ERROR] Linea 410: campo vacio detectado
[ERROR] Linea 412: precio invalido (-50)
[ERROR] Linea 413: stock invalido (-10)
[ERROR] Linea 415: fecha invalida (2026/99/99)
[ERROR] Error en linea 418: 1418,Producto_418,Abarrotes,2026-06-25,Marca_418,143,xyz
[ERROR] Linea 419: fecha invalida (2026/99/99)
[DUPLICADO] Linea 422: duplicado - 1001
[ERROR] Error en linea 423: 1423,Producto_423,Abarrotes,2026-05-17,Marca_423,55,xyz
[ERROR] Linea 424: precio invalido (-50)
[ERROR] Linea 425: campo vacio detectado
[ERROR] Linea 426: stock invalido (-10)
[ERROR] Linea 427: stock invalido (-10)
[ERROR] Error en linea 428: 1428,Producto_428,Frutas,2026-10-06,Marca_428,118,xyz
[ERROR] Linea 430: fecha invalida (2026/99/99)
[ERROR] Linea 431: fecha invalida (2026/99/99)
[ERROR] Error en linea 432: 1432,Producto_432,Snacks,2026-01-09,Marca_432,abc,96
[ERROR] Error en linea 433: 1433,Producto_433,Bebidas,2026-01-09,Marca_433,139,xyz
[ERROR] Error en linea 435: 1435,Producto_435,Bebidas,2026-08-15,Marca_435,abc,63
[ERROR] Linea 437: fecha invalida (2026/99/99)
[ERROR] Error en linea 438: 1438,Producto_438,Bebidas,2026-12-28,Marca_438,153,xyz
[ERROR] Error en linea 440: 1440,Producto_440,Abarrotes,2026-01-03,Marca_440,abc,68
[ERROR] Error en linea 441: 1441,Producto_441,Frutas,2026-03-20,Marca_441,abc,25
[ERROR] Error en linea 442: 1442,Producto_442,Verduras,2026-05-18,Marca_442,abc,41
[DUPLICADO] Linea 443: duplicado - 1001
[ERROR] Error en linea 444: 1444,Producto_444,Lacteos,2026-08-11,Marca_444,52,xyz
[ERROR] Linea 445: stock invalido (-10)
[ERROR] Error en linea 447: 1447,Producto_447,Verduras,2026-12-06,Marca_447,66,xyz
[ERROR] Linea 448: fecha invalida (2026/99/99)
[ERROR] Error en linea 449: 1449,Producto_449,Snacks,2026-04-08,Marca_449,abc,63
[ERROR] Error en linea 450: 1450,Producto_450,Abarrotes,2026-05-03,Marca_450,101,xyz
[ERROR] Linea 451: fecha invalida (2026/99/99)
[ERROR] Linea 453: campo vacio detectado
[ERROR] Linea 454: campo vacio detectado
[DUPLICADO] Linea 456: duplicado - 1001
[ERROR] Linea 457: precio invalido (-50)
[DUPLICADO] Linea 460: duplicado - 1001
[ERROR] Linea 461: precio invalido (-50)
[ERROR] Linea 462: precio invalido (-50)
[ERROR] Error en linea 463: 1463,Producto_463,Bebidas,2026-12-16,Marca_463,abc,29
[ERROR] Error en linea 464: 1464,Producto_464,Frutas,2026-08-24,Marca_464,50,xyz
[ERROR] Linea 465: precio invalido (-50)
[ERROR] Error en linea 466: 1466,Producto_466,Lacteos,2026-07-14,Marca_466,abc,76
[DUPLICADO] Linea 467: duplicado - 1001
[DUPLICADO] Linea 470: duplicado - 1001
[ERROR] Linea 471: fecha invalida (2026/99/99)
[ERROR] Linea 472: campo vacio detectado
[ERROR] Linea 474: stock invalido (-10)
[ERROR] Error en linea 475: 1475,Producto_475,Abarrotes,2026-07-13,Marca_475,25,xyz
[ERROR] Linea 478: fecha invalida (2026/99/99)
[ERROR] Error en linea 481: 1481,Producto_481,Bebidas,2026-09-13,Marca_481,51,xyz
[ERROR] Linea 482: fecha invalida (2026/99/99)
[ERROR] Linea 483: campo vacio detectado
[DUPLICADO] Linea 485: duplicado - 1001
[ERROR] Linea 486: precio invalido (-50)
[ERROR] Linea 487: precio invalido (-50)
[ERROR] Linea 488: campo vacio detectado
[ERROR] Linea 490: campo vacio detectado
[ERROR] Error en linea 494: 1494,Producto_494,Bebidas,2026-11-20,Marca_494,abc,22
[ERROR] Linea 497: campo vacio detectado
[ERROR] Linea 499: campo vacio detectado
[ERROR] Error en linea 500: 1500,Producto_500,Lacteos,2026-07-15,Marca_500,abc,95
[ERROR] Error en linea 501: 1501,Producto_501,Frutas,2026-03-11,Marca_501,abc,10
[ERROR] Linea 502: fecha invalida (2026/99/99)
[ERROR] Linea 503: campo vacio detectado
[ERROR] Linea 504: fecha invalida (2026/99/99)
[ERROR] Linea 506: fecha invalida (2026/99/99)
[ERROR] Linea 507: fecha invalida (2026/99/99)
[ERROR] Linea 508: campo vacio detectado
[ERROR] Linea 510: stock invalido (-10)
[ERROR] Linea 511: fecha invalida (2026/99/99)
[ERROR] Error en linea 513: 1513,Producto_513,Abarrotes,2026-05-08,Marca_513,116,xyz
[DUPLICADO] Linea 514: duplicado - 1001
[ERROR] Error en linea 515: 1515,Producto_515,Verduras,2026-03-22,Marca_515,164,xyz
[ERROR] Linea 516: fecha invalida (2026/99/99)
[ERROR] Linea 517: campo vacio detectado
[ERROR] Linea 519: fecha invalida (2026/99/99)
[ERROR] Linea 520: fecha invalida (2026/99/99)
[ERROR] Linea 521: campo vacio detectado
[ERROR] Error en linea 522: 1522,Producto_522,Verduras,2026-12-15,Marca_522,11,xyz
[DUPLICADO] Linea 524: duplicado - 1001
[ERROR] Linea 525: precio invalido (-50)
[ERROR] Linea 526: fecha invalida (2026/99/99)
[DUPLICADO] Linea 527: duplicado - 1001
[ERROR] Linea 530: fecha invalida (2026/99/99)
[DUPLICADO] Linea 531: duplicado - 1001
[DUPLICADO] Linea 532: duplicado - 1001
[ERROR] Linea 534: precio invalido (-50)
[ERROR] Linea 535: precio invalido (-50)
[ERROR] Linea 536: fecha invalida (2026/99/99)
[DUPLICADO] Linea 539: duplicado - 1001
[ERROR] Linea 540: precio invalido (-50)
[ERROR] Error en linea 542: 1542,Producto_542,Frutas,2026-11-05,Marca_542,73,xyz
[ERROR] Linea 549: fecha invalida (2026/99/99)
[DUPLICADO] Linea 550: duplicado - 1001
[ERROR] Linea 551: campo vacio detectado
[ERROR] Linea 552: campo vacio detectado
[ERROR] Error en linea 554: 1554,Producto_554,Lacteos,2026-06-05,Marca_554,abc,41
[DUPLICADO] Linea 555: duplicado - 1001
[DUPLICADO] Linea 557: duplicado - 1001
[DUPLICADO] Linea 558: duplicado - 1001
[ERROR] Linea 561: fecha invalida (2026/99/99)
[ERROR] Linea 562: campo vacio detectado
[DUPLICADO] Linea 564: duplicado - 1001
[ERROR] Linea 565: stock invalido (-10)
[ERROR] Error en linea 566: 1566,Producto_566,Frutas,2026-09-10,Marca_566,161,xyz
[DUPLICADO] Linea 567: duplicado - 1001
[ERROR] Linea 569: stock invalido (-10)
[ERROR] Linea 573: campo vacio detectado
[ERROR] Linea 574: fecha invalida (2026/99/99)
[DUPLICADO] Linea 576: duplicado - 1001
[ERROR] Linea 577: stock invalido (-10)
[ERROR] Linea 578: precio invalido (-50)
[ERROR] Linea 579: fecha invalida (2026/99/99)
[ERROR] Linea 580: fecha invalida (2026/99/99)
[ERROR] Linea 581: precio invalido (-50)
[ERROR] Linea 582: fecha invalida (2026/99/99)
[DUPLICADO] Linea 583: duplicado - 1001
[ERROR] Error en linea 584: 1584,Producto_584,Snacks,2026-01-06,Marca_584,abc,33
[ERROR] Linea 585: stock invalido (-10)
[ERROR] Linea 586: campo vacio detectado
[ERROR] Linea 587: precio invalido (-50)
[DUPLICADO] Linea 589: duplicado - 1001
[ERROR] Linea 591: fecha invalida (2026/99/99)
[ERROR] Linea 592: campo vacio detectado
[ERROR] Linea 593: campo vacio detectado
[ERROR] Error en linea 594: 1594,Producto_594,Snacks,2026-10-13,Marca_594,148,xyz
[ERROR] Linea 595: fecha invalida (2026/99/99)
[ERROR] Error en linea 596: 1596,Producto_596,Abarrotes,2026-10-17,Marca_596,abc,48
[ERROR] Linea 597: stock invalido (-10)
[ERROR] Error en linea 598: 1598,Producto_598,Verduras,2026-11-22,Marca_598,159,xyz
[DUPLICADO] Linea 599: duplicado - 1001
[ERROR] Error en linea 600: 1600,Producto_600,Bebidas,2026-03-25,Marca_600,11,xyz
[ERROR] Linea 601: stock invalido (-10)
[ERROR] Linea 602: fecha invalida (2026/99/99)
[DUPLICADO] Linea 603: duplicado - 1001
[ERROR] Error en linea 604: 1604,Producto_604,Abarrotes,2026-11-23,Marca_604,121,xyz
[ERROR] Linea 606: campo vacio detectado
[ERROR] Linea 607: fecha invalida (2026/99/99)
[ERROR] Linea 608: precio invalido (-50)
[ERROR] Linea 609: fecha invalida (2026/99/99)
[ERROR] Linea 610: fecha invalida (2026/99/99)
[ERROR] Error en linea 611: 1611,Producto_611,Lacteos,2026-01-03,Marca_611,35,xyz
[ERROR] Linea 615: fecha invalida (2026/99/99)
[ERROR] Linea 616: stock invalido (-10)
[ERROR] Linea 617: stock invalido (-10)
[ERROR] Error en linea 618: 1618,Producto_618,Abarrotes,2026-11-06,Marca_618,195,xyz
[ERROR] Linea 619: campo vacio detectado
[ERROR] Linea 620: fecha invalida (2026/99/99)
[ERROR] Linea 621: stock invalido (-10)
[DUPLICADO] Linea 622: duplicado - 1001
[ERROR] Error en linea 623: 1623,Producto_623,Snacks,2026-11-03,Marca_623,72,xyz
[ERROR] Linea 624: precio invalido (-50)
[ERROR] Error en linea 625: 1625,Producto_625,Bebidas,2026-05-12,Marca_625,130,xyz
[ERROR] Error en linea 626: 1626,Producto_626,Lacteos,2026-03-19,Marca_626,157,xyz
[ERROR] Linea 627: precio invalido (-50)
[DUPLICADO] Linea 628: duplicado - 1001
[ERROR] Error en linea 631: 1631,Producto_631,Snacks,2026-10-10,Marca_631,10,xyz
[ERROR] Error en linea 632: 1632,Producto_632,Bebidas,2026-08-25,Marca_632,37,xyz
[ERROR] Linea 633: campo vacio detectado
[ERROR] Linea 634: campo vacio detectado
[ERROR] Linea 635: fecha invalida (2026/99/99)
[DUPLICADO] Linea 636: duplicado - 1001
[ERROR] Linea 638: stock invalido (-10)
[ERROR] Linea 639: campo vacio detectado
[ERROR] Linea 640: stock invalido (-10)
[ERROR] Linea 641: fecha invalida (2026/99/99)
[ERROR] Error en linea 642: 1642,Producto_642,Snacks,2026-09-13,Marca_642,abc,87
[ERROR] Error en linea 643: 1643,Producto_643,Abarrotes,2026-07-27,Marca_643,abc,53
