codigoBarras,nombre,categoria,fechaVencimiento,marca,precio,stock
1075,Producto_75,Lacteos,2026-03-18,Marca_75,-50,42
1076,Producto_76,Snacks,2026-03-23,Marca_76,-50,29
1077,Producto_77,Bebidas,2026-10-21,Marca_77,-50,25
1078,Producto_78,Bebidas,2026-02-26,Marca_78,27,xyz
1079,Producto_79,Snacks,2026-07-19,Marca_79,-50,71
1001,Producto_80,Snacks,2026-01-17,Marca_80,26,70
1081,Producto_81,Bebidas,2026-08-12,Marca_81,80,67
1082,Producto_82,Frutas,2026-05-13,Marca_82,137,xyz
1083,Producto_83,Abarrotes,2026/99/99,Marca_83,161,9
1084,Producto_84,Bebidas,2026-05-17,Marca_84,abc,55
1085,Producto_85,Verduras,2026-03-20,Marca_85,abc,24
1086,Producto_86,Verduras,2026-01-20,Marca_86,abc,72
1001,Producto_87,Bebidas,2026-04-23,Marca_87,158,92
1088,Producto_88,Verduras,2026/99/99,Marca_88,34,96
1089,Producto_89,Bebidas,2026-11-05,Marca_89,33,28
1090,,Snacks,2026-08-10,Marca_90,122,57
1091,Producto_91,Abarrotes,2026-07-06,Marca_91,abc,72
1092,Producto_92,Abarrotes,2026-05-04,Marca_92,186,43
1093,Producto_93,Verduras,2026-09-06,Marca_93,50,58
1094,,Snacks,2026-10-15,Marca_94,177,30
1095,Producto_95,Frutas,2026-12-18,Marca_95,181,2
1096,Producto_96,Snacks,2026/99/99,Marca_96,122,48
1097,,Verduras,2026-11-04,Marca_97,10,40
1098,Producto_98,Snacks,2026-06-22,Marca_98,74,67
1099,Producto_99,Bebidas,2026-04-21,Marca_99,164,-10
1100,Producto_100,Snacks,2026/99/99,Marca_100,110,87
1101,Producto_101,Snacks,2026-04-17,Marca_101,70,-10
1102,Producto_102,Lacteos,2026-07-27,Marca_102,20,-10
1103,Producto_103,Snacks,2026-05-08,Marca_103,114,xyz
1104,Producto_104,Lacteos,2026/99/99,Marca_104,49,70
1105,Producto_105,Abarrotes,2026-02-23,Marca_105,71,96
1106,Producto_106,Frutas,2026-10-25,Marca_106,100,-10
1107,Producto_107,Frutas,2026-12-12,Marca_107,-50,3
1108,Producto_108,Verduras,2026/99/99,Marca_108,54,48
1109,,Frutas,2026-01-03,Marca_109,108,5
1110,Producto_110,Bebidas,2026-07-09,Marca_110,23,xyz
1111,Producto_111,Bebidas,2026-12-26,Marca_111,64,24
1112,Producto_112,Bebidas,2026-11-04,Marca_112,159,100
1113,Producto_113,Bebidas,2026-10-20,Marca_113,49,-10
1114,Producto_114,Verduras,2026-11-07,Marca_114,abc,86
1115,Producto_115,Bebidas,2026-10-02,Marca_115,147,xyz
1116,Producto_116,Bebidas,2026-07-25,Marca_116,23,58
1117,Producto_117,Verduras,2026-01-10,Marca_117,102,xyz
1118,Producto_118,Verduras,2026-01-19,Marca_118,-50,22
1119,Producto_119,Verduras,2026-10-28,Marca_119,139,-10
1120,Producto_120,Bebidas,2026-02-22,Marca_120,15,12
1121,Producto_121,Bebidas,2026-06-11,Marca_121,-50,40
1122,Producto_122,Abarrotes,2026-11-17,Marca_122,78,-10
1123,Producto_123,Abarrotes,2026/99/99,Marca_123,184,56
1001,Producto_124,Snacks,2026-04-07,Marca_124,32,15
1125,,Lacteos,2026-08-16,Marca_125,6,47
1126,Producto_126,Lacteos,2026-10-13,Marca_126,97,98
1127,Producto_127,Lacteos,2026-10-06,Marca_127,153,-10
1128,Producto_128,Frutas,2026/99/99,Marca_128,107,16
1129,,Frutas,2026-08-07,Marca_129,154,16
1130,Producto_130,Abarrotes,2026-12-24,Marca_130,-50,5
1131,Producto_131,Bebidas,2026-03-20,Marca_131,154,84
1132,Producto_132,Abarrotes,2026-04-10,Marca_132,67,8
1133,Producto_133,Abarrotes,2026/99/99,Marca_133,123,61
1134,Producto_134,Frutas,2026-12-18,Marca_134,24,61
1135,Producto_135,Bebidas,2026-08-16,Marca_135,107,7
1136,Producto_136,Verduras,2026-12-15,Marca_136,abc,82
1137,Producto_137,Abarrotes,2026-03-21,Marca_137,142,-10
1138,Producto_138,Snacks,2026-01-26,Marca_138,36,23
1139,,Frutas,2026-12-14,Marca_139,128,83
1001,Producto_140,Bebidas,2026-06-14,Marca_140,136,17
1141,Producto_141,Frutas,2026-01-24,Marca_141,90,84
1142,,Bebidas,2026-07-03,Marca_142,4,44
1143,,Bebidas,2026-05-15,Marca_143,93,4
1144,Producto_144,Lacteos,2026-06-09,Marca_144,13,-10
1145,Producto_145,Verduras,2026-08-05,Marca_145,164,xyz
1146,,Frutas,2026-10-25,Marca_146,63,56
1147,Producto_147,Lacteos,2026-03-07,Marca_147,65,54
1148,Producto_148,Lacteos,2026-05-10,Marca_148,90,xyz
1149,Producto_149,Verduras,2026-04-27,Marca_149,167,8
1150,Producto_150,Bebidas,2026-06-06,Marca_150,131,82
1151,Producto_151,Snacks,2026-05-02,Marca_151,88,19
1152,Producto_152,Lacteos,2026-05-07,Marca_152,169,69
1153,Producto_153,Lacteos,2026-07-17,Marca_153,-50,84
1154,Producto_154,Lacteos,2026-02-26,Marca_154,51,77
1155,Producto_155,Verduras,2026-06-03,Marca_155,-50,52
1156,Producto_156,Lacteos,2026/99/99,Marca_156,140,22
1157,Producto_157,Lacteos,2026-08-18,Marca_157,87,xyz
1158,Producto_158,Verduras,2026-07-16,Marca_158,20,38
1159,Producto_159,Verduras,2026-03-17,Marca_159,166,13
1160,Producto_160,Lacteos,2026-02-27,Marca_160,-50,12
1161,Producto_161,Abarrotes,2026-06-04,Marca_161,151,49
1162,Producto_162,Abarrotes,2026-01-05,Marca_162,abc,28
1163,Producto_163,Bebidas,2026-02-15,Marca_163,abc,37
1164,Producto_164,Frutas,2026-10-10,Marca_164,13,75
1165,Producto_165,Verduras,2026-09-12,Marca_165,abc,37
1166,Producto_166,Verduras,2026-08-04,Marca_166,abc,34
1167,Producto_167,Snacks,2026-05-01,Marca_167,169,-10
1168,Producto_168,Lacteos,2026/99/99,Marca_168,75,75
1169,Producto_169,Frutas,2026-10-11,Marca_169,148,xyz
1170,,Frutas,2026-03-22,Marca_170,105,57
1171,Producto_171,Lacteos,2026-01-18,Marca_171,194,xyz
1172,,Lacteos,2026-01-28,Marca_172,33,81
1173,Producto_173,Abarrotes,2026-09-02,Marca_173,33,-10
1174,Producto_174,Bebidas,2026-12-13,Marca_174,84,-10
1175,,Abarrotes,2026-04-09,Marca_175,93,56
1176,Producto_176,Verduras,2026-10-10,Marca_176,-50,71
1177,Producto_177,Frutas,2026-12-14,Marca_177,33,xyz
1178,Producto_178,Verduras,2026-04-06,Marca_178,186,28
1179,Producto_179,Snacks,2026-09-27,Marca_179,65,xyz
1180,Producto_180,Lacteos,2026-07-01,Marca_180,71,52
1181,Producto_181,Bebidas,2026-02-14,Marca_181,101,69
1001,Producto_182,Abarrotes,2026-02-20,Marca_182,35,91
1183,Producto_183,Bebidas,2026-07-22,Marca_183,9,72
1184,Producto_184,Abarrotes,2026-04-01,Marca_184,-50,88
1185,Producto_185,Lacteos,2026/99/99,Marca_185,40,57
1186,Producto_186,Abarrotes,2026/99/99,Marca_186,145,64
1187,Producto_187,Snacks,2026-01-08,Marca_187,-50,35
1188,Producto_188,Snacks,2026-10-24,Marca_188,152,58
1189,Producto_189,Verduras,2026-05-06,Marca_189,5,31
1190,Producto_190,Lacteos,2026-01-08,Marca_190,7,28
1191,Producto_191,Frutas,2026/99/99,Marca_191,134,52
1192,,Abarrotes,2026-04-28,Marca_192,115,92
1193,Producto_193,Snacks,2026-06-24,Marca_193,124,1
1194,Producto_194,Snacks,2026-09-22,Marca_194,136,82
1195,Producto_195,Snacks,2026-02-08,Marca_195,32,-10
1196,Producto_196,Bebidas,2026/99/99,Marca_196,43,40
1197,,Snacks,2026-07-17,Marca_197,48,53
1198,Producto_198,Bebidas,2026-09-25,Marca_198,29,5
1199,,Snacks,2026-07-22,Marca_199,30,86
1200,,Snacks,2026-07-08,Marca_200,137,86
1001,Producto_201,Frutas,2026-09-17,Marca_201,49,35
1202,Producto_202,Bebidas,2026-08-22,Marca_202,58,xyz
1203,Producto_203,Lacteos,2026-04-11,Marca_203,137,xyz
1204,,Lacteos,2026-05-13,Marca_204,146,6
1205,Producto_205,Frutas,2026-07-16,Marca_205,155,-10
1206,Producto_206,Verduras,2026-06-18,Marca_206,69,xyz
1207,Producto_207,Abarrotes,2026-11-04,Marca_207,-50,16
1208,Producto_208,Lacteos,2026/99/99,Marca_208,69,100
1001,Producto_209,Verduras,2026-01-01,Marca_209,119,22
1210,,Bebidas,2026-06-05,Marca_210,144,76
1211,Producto_211,Snacks,2026-05-28,Marca_211,-50,77
1212,,Frutas,2026-05-24,Marca_212,173,29
1001,Producto_213,Lacteos,2026-03-15,Marca_213,116,71
1214,Producto_214,Abarrotes,2026-09-06,Marca_214,149,59
1215,Producto_215,Snacks,2026/99/99,Marca_215,43,58
1216,Producto_216,Lacteos,2026-02-16,Marca_216,80,11
1217,Producto_217,Bebidas,2026-09-09,Marca_217,abc,73
1001,Producto_218,Bebidas,2026-11-24,Marca_218,72,26
1219,Producto_219,Snacks,2026-06-19,Marca_219,11,18
1220,Producto_220,Frutas,2026-08-07,Marca_220,-50,22
1221,Producto_221,Snacks,2026-10-17,Marca_221,9,-10
1222,Producto_222,Verduras,2026/99/99,Marca_222,161,83
1223,Producto_223,Verduras,2026-08-19,Marca_223,148,xyz
1224,Producto_224,Frutas,2026/99/99,Marca_224,72,57
1225,Producto_225,Frutas,2026-02-17,Marca_225,23,47
1226,Producto_226,Bebidas,2026-12-11,Marca_226,79,80
1227,Producto_227,Frutas,2026-08-19,Marca_227,185,16
1228,Producto_228,Abarrotes,2026-04-08,Marca_228,-50,44
1229,Producto_229,Bebidas,2026-05-24,Marca_229,42,56
1230,Producto_230,Frutas,2026-11-10,Marca_230,abc,93
1231,Producto_231,Abarrotes,2026-07-20,Marca_231,-50,9
1232,Producto_232,Verduras,2026-10-06,Marca_232,abc,74
1233,Producto_233,Verduras,2026-09-04,Marca_233,abc,83
1234,Producto_234,Snacks,2026-08-27,Marca_234,abc,85
1235,Producto_235,Bebidas,2026-12-25,Marca_235,198,-10
1001,Producto_236,Abarrotes,2026-09-11,Marca_236,45,4
1237,Producto_237,Verduras,2026-02-28,Marca_237,28,26
1238,Producto_238,Abarrotes,2026-06-26,Marca_238,-50,57
1239,Producto_239,Frutas,2026/99/99,Marca_239,128,81
1240,Producto_240,Bebidas,2026-12-23,Marca_240,-50,9
1241,Producto_241,Frutas,2026-06-18,Marca_241,65,-10
1242,,Lacteos,2026-12-03,Marca_242,91,55
1243,Producto_243,Snacks,2026-10-02,Marca_243,44,-10
1244,Producto_244,Verduras,2026-06-19,Marca_244,193,13
1245,Producto_245,Frutas,2026-06-02,Marca_245,138,83
1246,Producto_246,Snacks,2026-09-12,Marca_246,-50,53
1247,Producto_247,Abarrotes,2026-03-13,Marca_247,6,29
1248,Producto_248,Abarrotes,2026/99/99,Marca_248,75,47
1249,Producto_249,Abarrotes,2026-06-10,Marca_249,abc,86
1250,Producto_250,Bebidas,2026-05-08,Marca_250,abc,98
1001,Producto_251,Bebidas,2026-08-19,Marca_251,91,35
1252,Producto_252,Frutas,2026-03-09,Marca_252,129,20
1253,Producto_253,Frutas,2026-09-21,Marca_253,120,xyz
1001,Producto_254,Lacteos,2026-11-12,Marca_254,98,84
1255,Producto_255,Bebidas,2026-12-10,Marca_255,96,25
1256,Producto_256,Bebidas,2026-04-23,Marca_256,108,94
1257,Producto_257,Abarrotes,2026-10-12,Marca_257,54,xyz
1258,,Snacks,2026-01-08,Marca_258,99,4
1259,Producto_259,Bebidas,2026-12-24,Marca_259,37,70
1260,Producto_260,Bebidas,2026-05-23,Marca_260,104,xyz
1261,Producto_261,Snacks,2026-01-22,Marca_261,181,52
1262,Producto_262,Frutas,2026-01-28,Marca_262,abc,43
1263,Producto_263,Frutas,2026-01-13,Marca_263,abc,92
1264,,Frutas,2026-09-20,Marca_264,104,25
1265,,Lacteos,2026-03-02,Marca_265,165,94
1266,Producto_266,Verduras,2026-08-22,Marca_266,abc,20
1267,Producto_267,Frutas,2026-10-10,Marca_267,74,74
1268,Producto_268,Abarrotes,2026/99/99,Marca_268,15,35
1269,Producto_269,Lacteos,2026-11-07,Marca_269,abc,42
1270,Producto_270,Verduras,2026-12-22,Marca_270,96,48
1271,Producto_271,Abarrotes,2026-02-06,Marca_271,-50,29
1272,Producto_272,Bebidas,2026-10-02,Marca_272,87,15
1273,Producto_273,Bebidas,2026/99/99,Marca_273,93,59
1274,Producto_274,Frutas,2026-05-25,Marca_274,14,86
1275,Producto_275,Verduras,2026-04-01,Marca_275,10,83
1276,Producto_276,Abarrotes,2026-03-05,Marca_276,21,83
1277,Producto_277,Abarrotes,2026-12-22,Marca_277,39,70
1278,Producto_278,Frutas,2026-03-01,Marca_278,abc,84
1001,Producto_279,Frutas,2026-03-11,Marca_279,180,56
1280,Producto_280,Lacteos,2026-05-04,Marca_280,49,10
1281,Producto_281,Abarrotes,2026-10-16,Marca_281,156,54
1282,Producto_282,Abarrotes,2026-11-14,Marca_282,73,34
1283,Producto_283,Lacteos,2026/99/99,Marca_283,157,8
1284,Producto_284,Lacteos,2026-03-11,Marca_284,-50,42
1285,Producto_285,Snacks,2026-10-19,Marca_285,abc,90
1286,Producto_286,Lacteos,2026-01-17,Marca_286,129,-10
1287,,Verduras,2026-07-25,Marca_287,188,12
1288,Producto_288,Lacteos,2026/99/99,Marca_288,61,37
1289,Producto_289,Snacks,2026-11-11,Marca_289,132,-10
1290,Producto_290,Frutas,2026-04-22,Marca_290,112,23
1291,,Snacks,2026-11-16,Marca_291,92,23
1292,Producto_292,Frutas,2026-01-18,Marca_292,-50,81
1293,Producto_293,Frutas,2026-11-20,Marca_293,-50,23
1294,Producto_294,Verduras,2026-08-07,Marca_294,141,31
1295,Producto_295,Lacteos,2026-04-05,Marca_295,182,xyz
1296,,Bebidas,2026-05-25,Marca_296,83,16
1297,Producto_297,Bebidas,2026/99/99,Marca_297,99,31
1298,Producto_298,Snacks,2026-10-03,Marca_298,54,-10
1001,Producto_299,Abarrotes,2026-07-28,Marca_299,56,52
1300,Producto_300,Snacks,2026-08-21,Marca_300,129,xyz
1301,,Verduras,2026-04-28,Marca_301,67,75
1302,,Frutas,2026-12-04,Marca_302,194,22
1303,Producto_303,Verduras,2026-08-23,Marca_303,183,-10
1304,Producto_304,Bebidas,2026-06-01,Marca_304,-50,81
1305,Producto_305,Snacks,2026-09-07,Marca_305,57,xyz
1306,Producto_306,Bebidas,2026-11-19,Marca_306,abc,10
1307,,Snacks,2026-11-24,Marca_307,148,12
1308,Producto_308,Verduras,2026-09-16,Marca_308,abc,55
1309,Producto_309,Verduras,2026-02-06,Marca_309,150,65
1310,Producto_310,Snacks,2026-01-23,Marca_310,156,xyz
1311,Producto_311,Frutas,2026-12-06,Marca_311,48,90
1312,,Abarrotes,2026-03-01,Marca_312,103,38
1313,Producto_313,Verduras,2026-11-21,Marca_313,-50,21
1314,Producto_314,Bebidas,2026-06-09,Marca_314,107,67
1315,,Abarrotes,2026-03-21,Marca_315,2,78
1001,Producto_316,Verduras,2026-04-01,Marca_316,134,11
1317,Producto_317,Bebidas,2026-11-04,Marca_317,44,-10
1318,Producto_318,Frutas,2026-04-20,Marca_318,124,57
1319,Producto_319,Lacteos,2026-02-17,Marca_319,19,-10
1001,Producto_320,Lacteos,2026-08-14,Marca_320,199,9
1321,Producto_321,Snacks,2026-09-10,Marca_321,31,14
1322,,Verduras,2026-01-23,Marca_322,108,65
1001,Producto_323,Lacteos,2026-04-26,Marca_323,120,88
1324,,Abarrotes,2026-02-24,Marca_324,16,60
1325,Producto_325,Lacteos,2026-02-03,Marca_325,132,-10
1326,Producto_326,Bebidas,2026-10-04,Marca_326,92,17
1327,Producto_327,Abarrotes,2026-05-10,Marca_327,abc,100
1328,Producto_328,Abarrotes,2026-09-01,Marca_328,186,100
1329,Producto_329,Bebidas,2026-11-17,Marca_329,75,51
1330,Producto_330,Bebidas,2026-05-01,Marca_330,120,96
1331,Producto_331,Snacks,2026-05-06,Marca_331,22,xyz
1332,Producto_332,Frutas,2026-03-22,Marca_332,103,16
1333,,Frutas,2026-12-01,Marca_333,45,65
1334,Producto_334,Frutas,2026-04-23,Marca_334,-50,58
1001,Producto_335,Frutas,2026-12-25,Marca_335,53,99
1336,Producto_336,Abarrotes,2026-05-05,Marca_336,153,xyz
1337,Producto_337,Abarrotes,2026/99/99,Marca_337,15,82
1338,Producto_338,Frutas,2026-02-01,Marca_338,100,70
1339,Producto_339,Bebidas,2026-05-04,Marca_339,-50,21
1340,Producto_340,Lacteos,2026-01-13,Marca_340,148,xyz
1341,Producto_341,Verduras,2026-08-16,Marca_341,abc,45
1001,Producto_342,Verduras,2026-02-24,Marca_342,105,77
1343,Producto_343,Abarrotes,2026/99/99,Marca_343,175,95
1344,Producto_344,Verduras,2026-03-08,Marca_344,87,29
1345,Producto_345,Frutas,2026-03-13,Marca_345,abc,94
1346,,Bebidas,2026-01-28,Marca_346,177,47
1347,Producto_347,Frutas,2026-09-22,Marca_347,193,5
1348,Producto_348,Bebidas,2026-07-13,Marca_348,80,-10
1349,Producto_349,Verduras,2026-11-09,Marca_349,abc,33
1350,Producto_350,Verduras,2026-08-20,Marca_350,-50,3
1351,Producto_351,Snacks,2026-09-09,Marca_351,abc,93
1352,Producto_352,Abarrotes,2026-06-28,Marca_352,47,-10
1353,,Abarrotes,2026-04-23,Marca_353,12,88
1354,,Abarrotes,2026-10-17,Marca_354,143,88
1355,Producto_355,Snacks,2026-02-05,Marca_355,58,60
1356,Producto_356,Lacteos,2026-02-28,Marca_356,31,40
1357,Producto_357,Frutas,2026-01-02,Marca_357,118,xyz
1358,Producto_358,Abarrotes,2026-02-03,Marca_358,152,21
1359,Producto_359,Abarrotes,2026-02-20,Marca_359,130,-10
1360,Producto_360,Verduras,2026-03-01,Marca_360,144,40
1361,Producto_361,Lacteos,2026-02-26,Marca_361,6,-10
1362,Producto_362,Snacks,2026-10-25,Marca_362,-50,99
1363,Producto_363,Verduras,2026-08-20,Marca_363,120,71
1364,Producto_364,Snacks,2026-08-01,Marca_364,64,94
1365,,Snacks,2026-08-11,Marca_365,167,87
1366,Producto_366,Frutas,2026/99/99,Marca_366,23,34
1367,Producto_367,Verduras,2026-07-13,Marca_367,87,-10
1368,Producto_368,Verduras,2026-09-11,Marca_368,44,-10
1369,Producto_369,Lacteos,2026-12-05,Marca_369,112,-10
1370,Producto_370,Frutas,2026/99/99,Marca_370,126,56
1371,Producto_371,Verduras,2026-05-21,Marca_371,126,-10
1372,Producto_372,Verduras,2026-10-12,Marca_372,94,53
1373,Producto_373,Verduras,2026-09-24,Marca_373,111,33
1374,Producto_374,Frutas,2026-11-22,Marca_374,abc,18
1375,Producto_375,Bebidas,2026-05-14,Marca_375,-50,46
1376,Producto_376,Snacks,2026-01-10,Marca_376,35,62
1377,Producto_377,Frutas,2026-07-02,Marca_377,abc,28
1378,Producto_378,Lacteos,2026/99/99,Marca_378,142,58
1379,Producto_379,Frutas,2026-10-13,Marca_379,abc,42
1380,Producto_380,Bebidas,2026-03-19,Marca_380,83,18
1381,Producto_381,Frutas,2026-08-17,Marca_381,69,54
1382,Producto_382,Lacteos,2026-09-12,Marca_382,142,xyz
1383,Producto_383,Bebidas,2026-10-10,Marca_383,abc,3
1384,Producto_384,Bebidas,2026/99/99,Marca_384,172,35
1385,Producto_385,Frutas,2026-08-16,Marca_385,133,78
1386,Producto_386,Lacteos,2026-05-24,Marca_386,abc,9
1387,Producto_387,Abarrotes,2026-01-06,Marca_387,2,75
1388,Producto_388,Frutas,2026-02-07,Marca_388,190,67
1389,Producto_389,Verduras,2026-02-11,Marca_389,-50,61
1390,Producto_390,Bebidas,2026-03-08,Marca_390,5,87
1391,,Bebidas,2026-11-10,Marca_391,157,55
1392,Producto_392,Frutas,2026/99/99,Marca_392,91,37
1393,Producto_393,Snacks,2026-01-06,Marca_393,93,26
1394,Producto_394,Bebidas,2026-02-21,Marca_394,120,xyz
1395,Producto_395,Abarrotes,2026-11-07,Marca_395,-50,59
1396,Producto_396,Verduras,2026-04-07,Marca_396,-50,37
1001,Producto_397,Frutas,2026-10-21,Marca_397,104,76
1398,Producto_398,Frutas,2026-10-09,Marca_398,-50,79
1399,Producto_399,Frutas,2026-12-11,Marca_399,28,-10
1400,Producto_400,Abarrotes,2026-06-14,Marca_400,59,48
1401,,Snacks,2026-02-24,Marca_401,78,42
1402,Producto_402,Frutas,2026-11-21,Marca_402,50,14
1403,Producto_403,Verduras,2026-09-02,Marca_403,123,37
1404,Producto_404,Lacteos,2026-04-27,Marca_404,151,-10
1001,Producto_405,Verduras,2026-02-26,Marca_405,140,44
1406,Producto_406,Abarrotes,2026-03-06,Marca_406,32,36
1407,Producto_407,Snacks,2026-01-05,Marca_407,abc,31
1408,Producto_408,Verduras,2026/99/99,Marca_408,64,99
1409,Producto_409,Snacks,2026-11-13,Marca_409,69,xyz
1410,,Lacteos,2026-08-17,Marca_410,106,87
1411,Producto_411,Abarrotes,2026-03-26,Marca_411,140,42
1412,Producto_412,Frutas,2026-12-10,Marca_412,-50,35
1413,Producto_413,Frutas,2026-06-16,Marca_413,114,-10
1414,Producto_414,Lacteos,2026-08-25,Marca_414,148,28
1415,Producto_415,Bebidas,2026/99/99,Marca_415,114,62
1416,Producto_416,Abarrotes,2026-08-21,Marca_416,11,91
1417,Producto_417,Frutas,2026-04-26,Marca_417,169,70
1418,Producto_418,Abarrotes,2026-06-25,Marca_418,143,xyz
1419,Producto_419,Frutas,2026/99/99,Marca_419,116,48
1420,Producto_420,Lacteos,2026-10-16,Marca_420,169,3
1421,Producto_421,Bebidas,2026-04-09,Marca_421,156,51
1001,Producto_422,Abarrotes,2026-10-26,Marca_422,107,46
1423,Producto_423,Abarrotes,2026-05-17,Marca_423,55,xyz
1424,Producto_424,Frutas,2026-06-03,Marca_424,-50,90
1425,,Lacteos,2026-06-08,Marca_425,183,31
1426,Producto_426,Frutas,2026-02-10,Marca_426,188,-10
1427,Producto_427,Abarrotes,2026-10-17,Marca_427,99,-10
1428,Producto_428,Frutas,2026-10-06,Marca_428,118,xyz
1429,Producto_429,Abarrotes,2026-11-05,Marca_429,123,42
1430,Producto_430,Snacks,2026/99/99,Marca_430,64,42
1431,Producto_431,Verduras,2026/99/99,Marca_431,142,40
1432,Producto_432,Snacks,2026-01-09,Marca_432,abc,96
1433,Producto_433,Bebidas,2026-01-09,Marca_433,139,xyz
1434,Producto_434,Abarrotes,2026-06-26,Marca_434,167,24
1435,Producto_435,Bebidas,2026-08-15,Marca_435,abc,63
1436,Producto_436,Frutas,2026-08-09,Marca_436,114,65
1437,Producto_437,Lacteos,2026/99/99,Marca_437,37,30
1438,Producto_438,Bebidas,2026-12-28,Marca_438,153,xyz
1439,Producto_439,Frutas,2026-12-04,Marca_439,174,98
1440,Producto_440,Abarrotes,2026-01-03,Marca_440,abc,68
